f,m,method,err,time,name,n,t
$t sinc(tA)$,5.0,PA,0.7708969787011527,0.026432000000113476,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,15.0,PA,0.7461354296503209,0.004865000000108921,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,25.0,PA,0.499703946341592,0.004404999999906067,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,35.0,PA,0.44790269245102177,0.05363000000011198,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,45.0,PA,0.22774877204107338,0.021907000000055632,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,55.0,PA,0.0028384600221295977,0.02979700000014418,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,65.0,PA,6.686494360042569e-07,0.11835700000006,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,75.0,PA,9.07995778800451e-12,0.0520209999999679,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,85.0,PA,2.2329865331511062e-14,0.0692180000000917,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,95.0,PA,2.2323536609459257e-14,0.1107480000000578,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,105.0,PA,2.2293168033007663e-14,0.06542500000000473,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,115.0,PA,2.1191565564086727e-14,0.12987699999985125,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,125.0,PA,2.2581792395897815e-14,0.17592800000011266,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,135.0,PA,2.2017992221641477e-14,0.17572999999993044,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,145.0,PA,2.2231790337382954e-14,0.17488600000001497,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,155.0,PA,2.22387231423835e-14,0.1867890000000898,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,165.0,PA,2.227329599593533e-14,0.2646279999999024,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,175.0,PA,2.2277091331357648e-14,0.31089300000007825,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,185.0,PA,2.2261725932479132e-14,0.2680710000001909,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,195.0,PA,2.2293168033007663e-14,0.28756399999997484,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,205.0,PA,2.2293168033007663e-14,0.26575499999989916,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,215.0,PA,2.229099768929851e-14,0.3507879999999659,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,225.0,PA,2.128017044783092e-14,0.40771799999993164,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,235.0,PA,2.2180426425556984e-14,0.36253800000008596,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,245.0,PA,2.2538260528527206e-14,0.45057500000007167,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,255.0,PA,2.22709699661836e-14,0.44975799999997434,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,265.0,PA,2.2311620441881692e-14,0.5186840000001212,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,275.0,PA,2.229580515328361e-14,0.6042479999998704,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,285.0,PA,2.2291606439876496e-14,0.6514129999998204,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,296.0,PA,2.229099768929851e-14,1.5528160000001208,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,5.0,RA-AAA1,1.1813489049793302,0.317002999999886,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,15.0,RA-AAA1,0.7031437754882952,0.976989999999887,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,25.0,RA-AAA1,0.6610912817090289,1.7386300000000574,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,35.0,RA-AAA1,0.4932639740591025,2.6710699999998724,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,45.0,RA-AAA1,0.4694931086952379,2.9639599999998154,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,55.0,RA-AAA1,0.4575101127525283,3.6906470000001264,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,65.0,RA-AAA1,0.4377771859981667,4.553454000000102,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,75.0,RA-AAA1,0.3630520624826487,5.530083999999988,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,85.0,RA-AAA1,0.3275850951693526,5.500450000000001,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,95.0,RA-AAA1,0.27947197914993294,6.6204629999999725,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,105.0,RA-AAA1,0.26911533059916404,6.499707999999828,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,115.0,RA-AAA1,0.25784348024445164,8.167394000000058,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,125.0,RA-AAA1,0.2137240724838343,8.20977199999993,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,135.0,RA-AAA1,0.11719385646222388,8.801699999999983,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,145.0,RA-AAA1,0.03645917784291039,10.889818999999989,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,155.0,RA-AAA1,0.00392854090949587,11.022459000000026,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,165.0,RA-AAA1,0.00017091470271414874,10.677897999999914,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,175.0,RA-AAA1,1.8735363300763626e-06,11.461169000000154,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,185.0,RA-AAA1,3.5808465356064135e-08,13.360932999999932,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,195.0,RA-AAA1,1.8862415865242222e-10,13.908033999999816,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,205.0,RA-AAA1,1.9451324274502188e-13,13.796434999999974,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,215.0,RA-AAA1,4.2974842364254584e-14,14.626426000000038,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,225.0,RA-AAA1,4.1501234514842647e-14,15.909925000000158,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,235.0,RA-AAA1,4.2009473669962946e-14,15.288099999999986,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,245.0,RA-AAA1,4.016082493225761e-14,17.406499000000167,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,255.0,RA-AAA1,4.1653611756008286e-14,17.087606999999934,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,265.0,RA-AAA1,4.0497266127397475e-14,18.147509000000127,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,275.0,RA-AAA1,4.1336431640327197e-14,18.827575999999908,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,285.0,RA-AAA1,3.888163818152318e-14,19.362325000000055,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,296.0,RA-AAA1,3.849613365997261e-14,22.55881199999999,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,5.0,RA-AAA3,0.6812259033668153,0.7405060000000958,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,15.0,RA-AAA3,0.5184761788157545,2.0170069999999214,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,25.0,RA-AAA3,0.46261000199429103,3.111988999999994,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,35.0,RA-AAA3,0.44916714233339344,4.3744910000000345,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,45.0,RA-AAA3,0.39253501272840624,5.566666000000168,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,55.0,RA-AAA3,0.384130326987445,6.972496999999976,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,65.0,RA-AAA3,0.35302202479081446,8.548955999999862,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,75.0,RA-AAA3,0.31997911015585817,9.562012999999979,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,85.0,RA-AAA3,0.2686857308824811,10.96035999999981,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,95.0,RA-AAA3,0.16692569361138235,11.904723999999987,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,105.0,RA-AAA3,0.10480437115424301,13.712003999999979,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,115.0,RA-AAA3,0.015094069618989013,15.356178999999884,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,125.0,RA-AAA3,0.0014898559349620095,17.252788999999893,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,135.0,RA-AAA3,3.179264712536732e-05,17.32499900000016,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,145.0,RA-AAA3,6.275823769999919e-07,19.213635000000068,$H_{LE}^{h=0.07}$,316,5e-05
$t sinc(tA)$,155.0,RA-AAA3,7.279588197989123e-09,20.294149999999945,$H_{LE}^{h=0.07}$,316,5e-05
